quote,title,description,rating
诺兰给了我们一场无法盗取的梦。,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...",9.2
英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜  /  作死不离3兄弟(港),"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...",9.1
天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra...",9.2
永远都不能忘记你所爱的人。,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...",9.2
人人心中都有个龙猫，童年就永远不会消失。,龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...",9.1
千万不要记恨你的对手，这样会让你失去理智。,教父 / The Godfather / Mario Puzo's The Godfather  /  教父,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...",9.2
一生所爱。,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 大话西游之大圣娶亲  /  西游记完结篇仙履奇缘,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",9.1
Tomorrow is another day.,乱世佳人 / Gone with the Wind / 飘,"
                            导演: Victor Fleming / George Cukor   主演: 克拉克·盖博 Clark Gable / ...",9.2
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(台)  /  新天堂乐园(港),"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...",9.1
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...",9.0
平民励志片。 ,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...",8.9
如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...",9.0
史诗的终章。,指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临  /  指环王III：王者无敌,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...",9.1
爱情哪怕只有一天。,罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),"
                            导演: William Wyler   主演: Audrey Hepburn / Gregory Peck / Eddie Albert",8.9
满满温情的高雅喜剧。,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...",9.1
海豚的微笑，是世界上最高明的伪装。,海豚湾 / The Cove / 血色海湾(台)  /  海湾,"
                            导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...",9.3
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)","
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran",9.0
1957年的理想主义。 ,十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...",9.3
对天空的追逐，永不停止。 ,天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 鹫尾真知子 ...",9.0
对敌人的仁慈，就是对自己残忍。,鬼子来了 / Devils on the Doorstep,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...",9.1
自由万岁。,飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝  /  飞越喜鹊巢,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...",9.0
最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),"
                            导演: 彼特·道格特 Pete Docter   主演: 克里斯托弗·普卢默 Christopher Pl...",8.9
旷古烁今。,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",8.9
真正的幸福是来自内心深处。,怦然心动 / Flipped / 萌动青春  /  青春萌动,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...",8.9
别样人生。,窃听风暴 / Das Leben der Anderen / 他人的生活  /  别人的生活,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...",9.1
香港电影史上永不过时的杰作。,无间道 / 無間道 / Infernal Affairs,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生",8.9
法式小清新。 ,天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,"
                            导演: Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索...",8.8
一张面具背后的理想与革命。,V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台),"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔丽·波曼 Natalie Portm...",8.8
无尽的黑暗。,蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",8.9
史上最美的探戈。,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...",8.9
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...",9.1
承前启后的史诗篇章。,指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",8.9
传说的开始。,指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",8.9
爱是一切逻辑和原由。,美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...",8.9
张艺谋最好的电影。,活着 / 人生  /  Lifetimes,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang",9.0
瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...",9.0
优雅的孤独。,教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",9.1
警察抓小偷，老鼠玩死猫。,七宗罪 / Se7en / 火线追缉令  /  7宗罪,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...",8.7
浪漫忧郁的成人童话。,剪刀手爱德华 / Edward Scissorhands / 幻海奇缘  /  剪刀手爱德华,"
                            导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...",8.7
暗恋的极致。,情书 / Love Letter / When I Close My Eyes  /  Letters of Love,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 酒井美纪 Mik...",8.8
史诗大片的典范。,勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...",8.8
带着心爱的人在天空飞翔。,哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...",8.8
往事如烟，无处祭奠。,美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),"
                            导演: Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 ...",9.1
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...",8.9
音乐能化解仇恨。,钢琴家 / The Pianist / 战地琴人  /  钢琴战曲,"
                            导演: Roman Polanski   主演: Adrien Brody / Thomas Kretschmann / Emilia Fox",9.0
孪生蝙蝠侠大战克隆金刚狼。,致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",8.8
用音乐化解仇恨，让歌声串起美好。,音乐之声 / The Sound of Music / 仙乐飘飘处处闻  /  真善美,"
                            导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...",8.9
动物版《哈姆雷特》。,狮子王 / The Lion King / 狮子王3D,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...",8.8
以戏谑来戏谑戏谑。,被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...",8.9
奔跑的孩子是天使。,小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,"
                            导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...",9.1
故事的高级讲法。,低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港),"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...",8.7
你是我最好的朋友，你是我唯一的朋友 。,玛丽和马克思 / Mary and Max / 巧克力情缘  /  玛丽和麦克斯,"
                            导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍...",8.9
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...",8.8
人的命运被自己瞬间的抉择改变。,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,"
                            导演: 埃里克.布雷斯 Eric Bress / J. Mackye Gruber   主演: 阿什顿·库彻 A...",8.7
安东尼·霍普金斯的顶级表演。,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,"
                            导演: Jonathan Demme   主演: Jodie Foster / Anthony Hopkins / Scott Glenn",8.7
在时间之河里感受溺水之苦。,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童,"
                            导演: 大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt / 凯特·布...",8.7
视觉革命。,黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台),"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...",8.7
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼 / Big Fish / 大鱼奇缘(港)  /  大鱼老爸,"
                            导演: Tim Burton   主演: Ewan McGregor / Albert Finney / Billy Crudup",8.7
百看不厌。 ,射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),"
                            导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 张国荣 Les...",8.7
一场华丽的意淫。,阳光灿烂的日子 / In the Heat of the Sun,"
                            导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao",8.7
美利坚精神输出大片No1.,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",8.8
人与自然的战争史诗。,幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女,"
                            导演: 宫崎骏   主演: 松田洋治 / 石田百合子 / 田中裕子",8.7
深入内心的恐怖，出人意料的结局。,第六感 / The Sixth Sense / 灵异第六感  /  鬼眼,"
                            导演: M. Night Shyamalan   主演: Bruce Willis / Haley Joel Osment / Toni...",8.8
你给我翻译翻译，神马叫做TMD的惊喜。,让子弹飞 / 让子弹飞一会儿  /  火烧云,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...",8.7
人生不能像做菜，把所有的料都准备好了才下锅。,饮食男女 / 飲食男女 / Eat Drink Man Woman,"
                            导演: 李安 Ang Lee   主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...",8.9
被上帝抛弃了的上帝之城。,上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),"
                            导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...",8.9
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,"
                            导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...",8.8
人生中应该拥有这样的一段豁然开朗。,心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...",8.7
美丽无罪。,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...",8.6
幸福是生生不息，却难以触及的远。 ,萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,"
                            导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子",8.8
经典之作，历久弥新。,大闹天宫 / 大闹天宫 上下集  /  The Monkey King,"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...",9.2
逢只要一瞬间，等待却像是一辈子。,甜蜜蜜 / Comrades: Almost a Love Story,"
                            导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...",8.7
我们都曾经是一一。,一一 / Yi yi  /  Yi yi: A One and a Two,"
                            导演: 杨德昌   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elaine Jin",8.8
寂寞没有期限。,重庆森林 / 重慶森林 / Chungking Express,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...",8.6
大海啊，不全是水。,海洋 / Océans / Oceans  /  海洋,"
                            导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...",9.0
爱情纠缠，男女一致。,春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,"
                            导演: 王家卫   主演: 梁朝伟 / 张国荣 / 张震",8.7
缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",8.7
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台),"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",8.7
动画片的圣经。,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 京田尚子 H...",8.8
没有一人完全善，也没有一人完全恶。,告白 / 自白  /  母亲,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...",8.6
约翰尼·德普的独角戏。,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),"
                            导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...",8.5
传奇，不是每个人都可以拥有。,燃情岁月 / Legends of the Fall / 秋日传奇  /  真爱一世情(台),"
                            导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki...",8.8
和谐的生活离不开摸头与被摸头。,驯龙高手 / How to Train Your Dragon / 驯龙记(港),"
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...",8.7
绝对意义上的美轮美奂。,阿凡达 / Avatar / 天神下凡  /  化身,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...",8.6
少女情怀总是诗。,侧耳倾听 / 耳をすませば / 心之谷  /  梦幻街少女,"
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...",8.8
最不可能的那个人永远是最可能的。,致命ID / Identity / 杀人游戏  /  致命身份,"
                            导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet",8.6
永远看不腻的喜剧。,虎口脱险 / La grande vadrouille / 横冲直撞出重围(港)  /  Don't Look Now... We're Being Shot At!,"
                            导演: Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès / 布尔维尔 B...",8.9
爱，是个动词。,真爱至上 / Love Actually / 爱是您，爱是我(台)  /  真的恋爱了(港),"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...",8.5
穷尽一生，我们要学会的，不过是彼此拥抱。,超脱 / Detachment / 人间师格(台),"
                            导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 克里...",8.7
昔日翩翩少年，今日大腹便便。,禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台),"
                            导演: Martin Scorsese   主演: Leonardo DiCaprio / Mark Ruffalo / Michell...",8.6
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天 / 菊次郎の夏 / Kikujirô no natsu  /  菊次郎的夏天,"
                            导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...",8.7
大时代中的人生，小人物的悲喜。,"摩登时代 / Modern Times / The Masses  /  Temps modernes, Les","
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...",9.1
真相就在眼前。,电锯惊魂 / Saw / 夺魂锯  /  恐惧斗室,"
                            导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...",8.6
有时候幸福需要等一等。 ,幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台),"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",8.6
Mr. I Don't Care其实也有Care的时候。,神偷奶爸 / Despicable Me / 卑鄙的我  /  坏蛋奖门人(港),"
                            导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...",8.5
岁月流逝，来日可追。,岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,"
                            导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...",8.6
曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),"
                            导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...",8.7
不可猜的青春迷笛。 ,猜火车 / Trainspotting / 迷幻列车  /  定位的火车,"
                            导演: 丹尼·鲍尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / 艾...",8.5
电影诗。,东邪西毒 / 東邪西毒 / Ashes of Time,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...",8.5
每个人心中都有一座断背山。,断背山 / Brokeback Mountain / 断臂山,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...",8.5
爱上未来的你。 ,穿越时空的少女 / 時をかける少女 / 跳跃吧！时空少女(台)  /  Toki o kakeru shôjo,"
                            导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...",8.7
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁 / Slumdog Millionaire / 贫民百万富翁(台)  /  一百万零一夜(港),"
                            导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...",8.5
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,雨人 / Rain Man / 手足情未了  /  手足情深,"
                            导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...",8.6
中国式内在的美国电影。,魂断蓝桥 / Waterloo Bridge / 滑铁卢桥  /  断桥残梦,"
                            导演: Mervyn LeRoy   主演: Vivien Leigh / Robert Taylor / Lucile Watson",8.8
时代悲歌。,七武士 / 七人の侍 / 七侠四义(港)  /  The Seven Samurai,"
                            导演: 黑泽明   主演: 三船敏郎 Toshirô Mifune / 志村乔 Takashi Shimura...",9.1
一个针管引发的血案。,记忆碎片 / Memento / 失忆  /  记忆拼图,"
                            导演: Christopher Nolan   主演: Guy Pearce / Carrie-Anne Moss / Joe Pant...",8.5
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,恋恋笔记本 / The Notebook / 深情日记  /  写我情真,"
                            导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...",8.5
像吃了苏打饼一样干脆的电影。,谍影重重3 / The Bourne Ultimatum / 神鬼认证：最后通牒 (台)  /  叛谍追击3：最后通牒(港),"
                            导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...",8.7
骗子大师和执著警探的你追我跑故事。 ,猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台),"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...",8.6
不要给它起名字，起了名字就有感情了。,"怪兽电力公司 / Monsters, Inc. / 怪兽公司(港)  /  怪物公司","
                            导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...",8.6
,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...",9.1
两张绝世的脸。 ,倩女幽魂 / 倩女幽魂(87版)  /  A Chinese Ghost Story,"
                            导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...",8.5
当这个世界闭上双眼，他却敞开了怀抱。,卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台),"
                            导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...",8.8
青春就是放弃和怀念。,秒速5厘米 / 秒速5センチメートル / 秒速五厘米  /  秒速5公分,"
                            导演: 新海诚 Makoto Shinkai   主演: 水桥研二 Kenji Mizuhashi / 近藤好美 ...",8.5
爱并不需要智商 。,我是山姆 / I Am Sam / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),"
                            导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...",8.9
